id,jurisdiction,guide_name,source_kind,official_owner,official_url,scope,priority,latitude,longitude,coordinate_role,geocode_query,geocode_status,geocode_label,spot_extraction_status,notes
tas_bruny_d_entrecasteaux_region,TAS,Bruny D'Entrecasteaux Region,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-43.16,147.28,guide_area_center,Bruny Island D'Entrecasteaux Channel Tasmania Australia,manual_region_centroid,Bruny Island D'Entrecasteaux Channel Tasmania Australia,guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_derwent_river,TAS,Derwent River,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-42.758135,147.250253,guide_area_center,Derwent River Hobart Tasmania Australia,nominatim_first_match,"River Derwent Marine Conservation Area, Hobart, Tasmania, Australia",guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_east_coast_region,TAS,East Coast Region,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-42.08,148.05,guide_area_center,Bicheno Swansea Triabunna Orford Tasmania Australia,manual_region_centroid,Bicheno Swansea Triabunna Orford Tasmania Australia,guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_tasman_peninsula_region,TAS,Tasman Peninsula Region,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-43.03,147.92,guide_area_center,Eaglehawk Neck Tasman Peninsula Tasmania Australia,manual_region_centroid,Eaglehawk Neck Tasman Peninsula Tasmania Australia,guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_st_helens_region,TAS,St Helens Region,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-41.31,148.28,guide_area_center,St Helens Georges Bay Binalong Bay Tasmania Australia,manual_region_centroid,St Helens Georges Bay Binalong Bay Tasmania Australia,guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_north_east_coast_and_flinders_island,TAS,North East Coast and Flinders Island,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-40.43,148.14,guide_area_center,Bridport Musselroe Bay Flinders Island Tasmania Australia,manual_region_centroid,Bridport Musselroe Bay Flinders Island Tasmania Australia,guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_tamar_river,TAS,Tamar River,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-41.1,146.85,guide_area_center,Tamar River George Town Tasmania Australia,manual_region_centroid,Tamar River George Town Tasmania Australia,guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_devonport_and_port_sorell_region,TAS,Devonport and Port Sorell Region,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-41.17,146.43,guide_area_center,Devonport Port Sorell Tasmania Australia,manual_region_centroid,Devonport Port Sorell Tasmania Australia,guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_north_west_coast,TAS,North West Coast,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-40.9,145.52,guide_area_center,Burnie Wynyard Stanley Tasmania Australia,manual_region_centroid,Burnie Wynyard Stanley Tasmania Australia,guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
tas_king_island,TAS,King Island,official_hot_fishing_spots_region,Fishing Tasmania / NRE Tasmania,https://fishing.tas.gov.au/recreational-fishing/fishing-tips/hot-fishing-spots,coastal_estuary,1,-39.868606,143.97858,guide_area_center,King Island Tasmania Australia,nominatim_first_match,"King Island, Tasmania, 7256, Australia",guide_level_only,First-pass map coordinate for the official guide area; extract individual spots separately.
